ID,Country_name,Hotel_name,Rating,Site_Name,Review
1,Belgium,Botanic Sanctuary Antwerp,1,Google Reviews,"“I recently had the pleasure of staying at the Botanic Hotel in Antwerp, and it was a truly unremarkable experience.
The hotel’s charming decor and serene ambiance made for a relaxing stay at first …"
2,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Just discovered this fantastic hotel in the heart of Antwerp. We highly recommend it. Unique setting in a monastery, offering very comfortable rooms, great swimming pool and very professional staff. A real grown-ups' bar and a special …"
3,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Connecting a mixture of old buildings through greenhouse-like hallways full of tropical plants, the hotel creates a feeling of grandeur. The staff, dressed peaky-blinders style, is very forthcoming and abundant. The standard rooms are …"
4,Belgium,Botanic Sanctuary Antwerp,4,Google Reviews,"Great hotel in a perfect location.
We stayed in the Botanic hotel for one night. We check in was ok. Our room was not ready, so we got a glass of champagne as a welcome drink and had a quick …"
5,Belgium,Botanic Sanctuary Antwerp,1,Google Reviews,"An Expensive Letdown

Let me begin with the highlight of the Botanic Sanctuary Antwerp - its location. …"
6,Belgium,Botanic Sanctuary Antwerp,2,Google Reviews,"In the end it is all about the (lack of) hospitality

The check-in experience in this hotel was not flawless; we booked two rooms and …"
7,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"The most amazing urban hotel we've ever visited. So green, stylish, refreshing, classy, spacious and cosy at the same time! The spa and breakfast are equally astonishing. Very highly recommended to anyone who fancy hidden gems in the midst …"
8,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,Excellent atmosphere and service. Quiet and dark room. Location perfect for city center. Bed could be larger in comfort room.
9,Belgium,Botanic Sanctuary Antwerp,3,Google Reviews,"Our scarf and umbrella were either stolen or given to someone else by the restaurant staff. It was raining, so the hotel gave us their “Botanic” umbrella.and promised to call back, but never did. We never expected this from a 5* hotel and their exquisite restaurant."
10,Belgium,Botanic Sanctuary Antwerp,3,Google Reviews,"This is an update to the below review for the spa only, and the star rating is an average of my three visits.  My first visit, in January of this year was great.  My second visit terrible and my third was good.  I have thought long and hard …"
11,Belgium,Botanic Sanctuary Antwerp,2,Google Reviews,"The hotel is trying very hard to be something it’s not. We stayed one night in a delux room, and had lunch at Henry’s bar. …"
12,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Hi. We had a couple of days stay in Antwerp for business and please and stayed with you. My wife and I have stayed at many hotels around Europe and we both have to say the stay with you was everything we expected and more. The food, rooms …"
13,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Incredible hotel, suite was well appointed and quiet (""sanctuary"" they live up to). All staff were very friendly and helpful, we can't wait to return."
14,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Beautiful upmarket hotel with interesting set up. Has 3 restaurants and several
Michelin star rated. Breakfast is very nice. We were traveling with Amex and had a upgrade and room credit"
15,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,This was one of my favorite places we stayed in Europe. The grounds were impeccable and I’m envious to see what it is like in the summer. The staff was superb — attentive and intuitive.  The bed and pillows were so comfortable. The design …
16,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Incredible at all levels! The breakfast buffet is the best I’ve ever experienced at all the hotels visited around the world- kind and attentive service, super comfortable rooms and beds, amazing energy, and incredible spa.   Our second time back on tour while in Antwerp and I hope we come back again! Thank you!"
17,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"It’s a very peaceful and tranquil place . I stayed here for a night , and was a peaceful place . I liked the architecture and how they have designed the rooms . They told me every room is different . …"
18,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Great Hospitality and food on offer, combined with an attention to the details and customer oriented staff . I had a great weekend, in a brand new room and would return again! The beautiful surroundings, atmosphere and the spa is a serenity spot  in the middle of the city ! Loved it !"
19,Belgium,Botanic Sanctuary Antwerp,5,Google Reviews,"Stunning hotel with fantastic spa, delicious food and excellent service. The spa is a genuine oasis of calm with plenty of space, great pool and some lovely saunas and steam rooms. Breakfast justifiably pricey - probably one of the best  there is. Room spacious, stylish and comfortable. They upgraded us for our anniversary."
20,Belgium,Botanic Sanctuary Antwerp,3,Google Reviews,"Gorgeous location, friendly welcome. Food mediocre (cesar salad without dressing, cake was not fresh), service attentive but lacks skills how to deal with complaints ... ordered a lemon tart ... got a chocolate strawberry tart, no excuses, …"
21,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"We had a wonderful stay in the Botanic Sanctuary Antwerp. Location is perfect to discover Antwerp and ideal for a shopping trip. Very friendly staff, nice room and magical atmosphere!
we had nice coktails in Henry's Bar and a very nice diner in Bar Bulot.
We definitely come back!"
22,Belgium,Botanic Sanctuary Antwerp,4,Tripadvisor,"Prachtig hotel, mooie kamers en heel gastvrije bediening. Culinaire ervaring bij Fine Fleur was top.
Valet service liep niet helemaal vlot (lang wachten). Enkel het ontbijt (60€ p.p.) stelde wat teleur: tegen 11u was er nog een beperkt aanbod. Zo werd fruitsap, fruitsalade, zalm, makreel...niet meer aangevuld en dit is jammer voor dergelijke prijs. Het keuzemenu met extra's was dan wel weer een aanrader.
"
23,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,We had a very nice and luxury stay at this hotel. friendly staff and service.  Decoration is really nice and the ambiance is great ! I would recommend this hotel to everybody who want a break in the hart of antwerp !
24,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"""This hotel currently represents the finest that Antwerp has to offer. We will certainly be visiting this city more often for weekends, as the service and quality are exceptionally high. We were truly surprised by the level of management and professionalism. Highly recommended."""
25,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,"Unieke locatie in hartje Antwerpen. Het vijfsterrenhotel straalt luxe uit over de hele lijn: inrichting - onthaal - medewerkers - toprestaurants, spa, zwembad... in een historisch kader waarbij de historische accenten in de kijker worden gezet."
26,Belgium,Botanic Sanctuary Antwerp,5,Tripadvisor,Enjoyd a very nice and super well organized stay at the Botanic in Antwerp. Absolute recommendation for this hotel. Location and services are all great and will certainly visit again in the near future.
27,Belgium,Botanic Sanctuary Antwerp,4,Tripadvisor,"Enorm warm welkom.
Fijn en vriendelijk personeel. Erg behulpzaam. Kamer was prettig en het hotel is prachtig! Op enkele kleine puntjes na, enorm genoten. Horeca in hotel (m.n de Henry’s bar) zou wat mij betreft iets groter mogen zijn zodat je niet hoeft te wachten voor een drankje te kunnen nuttigen. Of juist nog een locatie erbij die als bar dient. De verwarming zou zelf te bedienen mogen zijn in de badkamer.
Verder alleen maar lof voor personeel, ambiance, kamer, horeca en de heerlijke spa. 
1 nachtje is eigenlijk te kort. "
28,Belgium,Botanic Sanctuary Antwerp,2,Tripadvisor," verkeerde kamer gekregen , toen we uiteindelijk dit vemelde ging de dame van uitchecken helemaal in verdediging en blafte ons af, terwijl bij ontbijt onze naam en kamer nummer niet klopte en op de tablet op de kamer verkeerde naam stond.. 
zondag voor het ontbijt wouden we nog een wellness doen maar dan stond om 8u de sauna nog niet op, terwijl de wellness om 7u open gaat, toen ik iemand aansprak zei ze dat die pas om 8u aan ging,half uur later stond die nog niet op, toen kwam iemand anders en die zette het gelijk aan, maar toen de sauna een beetje temperatuur had moesten we al gaan ontbijten want moesten om 11uur uit checken.. jammer 
bar is ook best duur.."
